sid,date,name,creator,licence,access,group_count,individual_count,intervention_count,output_count,timecourse_count,study_count,study_count_cum,group_count_cum,individual_count_cum,intervention_count_cum,output_count_cum,timecourse_count_cum
PKDB00265,2019-11-09,Hall1976,jbrandhorst,closed,public,2,6,3,50,4,1,73,247,1118,213,6099,535
PKDB00266,2019-11-09,Ali1993,jbrandhorst,closed,public,11,0,1,23,2,1,74,258,1118,214,6122,537
24517114,2020-01-25,Berg2014,jbrandhorst,closed,public,3,0,3,40,4,1,75,261,1118,217,6162,541
1577043,2020-01-25,Nielsen1992,jbrandhorst,closed,public,1,0,3,24,3,1,76,262,1118,220,6186,544
4850385,2020-01-25,Mrochek1974,jbrandhorst,closed,public,1,2,1,0,0,1,77,263,1120,221,6186,544
10412886,2020-01-25,Esteban1999,jbrandhorst,closed,public,5,0,1,24,0,1,78,268,1120,222,6210,544
Itoh2001,2020-01-25,Itoh2001,jbrandhorst,closed,public,1,0,2,56,7,1,79,269,1120,224,6266,551
4851431,2020-01-25,Chiou1974,jbrandhorst,closed,public,0,0,0,0,0,1,80,269,1120,224,6266,551
3604267,2020-01-25,Kamali1987,jbrandhorst,closed,public,4,0,8,92,4,1,81,273,1120,232,6358,555
Borin1989,2020-01-25,Borin1989,jbrandhorst,closed,public,1,15,5,60,5,1,82,274,1135,237,6418,560
7002186,2020-01-25,Prescott1980,mkoenig,open,public,0,0,0,0,0,1,83,274,1135,237,6418,560
