pacbioRun,filter_reason,count,total_counts,frac_counts
Lib-3_211105,barcode mutation_nt_count,4214,329569,0.012786396778823251
Lib-3_211105,gene clip3,3294,329569,0.009994872090518222
Lib-3_211105,gene mutation_nt_count,18438,329569,0.055945795872791436
Lib-3_211105,query_clip3,2050,329569,0.006220245229375336
Lib-3_211105,query_clip5,7123,329569,0.02161307647260513
Lib-3_211105,termini3 clip3,1590,329569,0.004824482885222821
Lib-3_211105,termini3 mutation_nt_count,1583,329569,0.004803243023463979
Lib-3_211105,termini5 clip5,10229,329569,0.03103750656160015
Lib-3_211105,termini5 mutation_nt_count,1707,329569,0.005179492003192048
Lib-3_211105,variant_tag3 mutation_nt_count,956,329569,0.0029007582630647907
Lib-3_211105,variant_tag5 mutation_nt_count,352,329569,0.0010680616198732284
Lib-3_220124,barcode clip3,365,346625,0.0010530111792282726
Lib-3_220124,barcode mutation_nt_count,3373,346625,0.009730977280923188
Lib-3_220124,gene clip3,4839,346625,0.01396033177064551
Lib-3_220124,gene mutation_nt_count,21019,346625,0.06063901911287414
Lib-3_220124,query_clip3,2510,346625,0.0072412549585286696
Lib-3_220124,query_clip5,8332,346625,0.024037504507753337
Lib-3_220124,termini3 clip3,1712,346625,0.004939055174900829
Lib-3_220124,termini3 mutation_nt_count,1993,346625,0.005749729534799856
Lib-3_220124,termini5 clip5,12803,346625,0.036936170212765955
Lib-3_220124,termini5 mutation_nt_count,2132,346625,0.0061507392715470606
Lib-3_220124,variant_tag3 mutation_nt_count,758,346625,0.002186801298232961
Lib-3_220124,variant_tag5 mutation_nt_count,321,346625,0.0009260728452939055
Lib-4_211105,barcode clip3,453,534470,0.0008475686193799465
Lib-4_211105,barcode mutation_nt_count,6631,534470,0.012406683256309989
Lib-4_211105,gene clip3,5507,534470,0.010303665313301028
Lib-4_211105,gene mutation_nt_count,25153,534470,0.047061575018242374
Lib-4_211105,query_clip3,2863,534470,0.005356708514977455
Lib-4_211105,query_clip5,7965,534470,0.014902613804329523
Lib-4_211105,termini3 clip3,2595,534470,0.004855277190487773
Lib-4_211105,termini3 mutation_nt_count,2705,534470,0.00506108855501712
Lib-4_211105,termini5 clip5,14882,534470,0.027844406608415813
Lib-4_211105,termini5 mutation_nt_count,2420,534470,0.0045278500196456305
Lib-4_211105,variant_tag3 mutation_nt_count,1538,534470,0.0028776170786012313
Lib-4_211105,variant_tag5 mutation_nt_count,609,534470,0.0011394465545306565
Lib-4_220124,barcode clip3,562,560663,0.0010023846767131057
Lib-4_220124,barcode mutation_nt_count,5280,560663,0.009417421873745904
Lib-4_220124,gene clip3,7984,560663,0.014240283378785473
Lib-4_220124,gene mutation_nt_count,28439,560663,0.05072387512641283
Lib-4_220124,query_clip3,3633,560663,0.00647982834608312
Lib-4_220124,query_clip5,9372,560663,0.016715923825898982
Lib-4_220124,termini3 clip3,2843,560663,0.00507078227027644
Lib-4_220124,termini3 mutation_nt_count,3275,560663,0.005841298605401105
Lib-4_220124,termini5 clip5,18647,560663,0.03325883819692043
Lib-4_220124,termini5 mutation_nt_count,3134,560663,0.005589810634909027
Lib-4_220124,variant_tag3 mutation_nt_count,1234,560663,0.0022009656424625845
Lib-4_220124,variant_tag5 mutation_nt_count,612,560663,0.0010915648080932752
Lib-1_211105,aligned,555551,654163,0.8492546964594451
Lib-1_220124,aligned,576055,690629,0.8341019563325606
Lib-2_211105,aligned,442826,506237,0.8747404871631271
Lib-2_220124,aligned,455196,528277,0.8616615904156342
Lib-3_211105,aligned,277734,329569,0.8427188236757704
Lib-3_220124,aligned,286468,346625,0.8264493328525063
Lib-4_211105,aligned,461149,534470,0.8628154994667615
Lib-4_220124,aligned,475648,560663,0.8483670226142977
