Time,Percentage,,,,Time period,Percentage change
1999 MAY,1.6,1999,MAY,5,1999-05-01,1.6
1999 JUN,1.5,1999,JUN,6,1999-06-01,1.5
1999 JUL,1.2,1999,JUL,7,1999-07-01,1.2
1999 AUG,0.1,1999,AUG,8,1999-08-01,0.1
1999 SEP,0.2,1999,SEP,9,1999-09-01,0.2
1999 OCT,-0.1,1999,OCT,10,1999-10-01,-0.1
1999 NOV,0.3,1999,NOV,11,1999-11-01,0.3
1999 DEC,-0.1,1999,DEC,12,1999-12-01,-0.1
2000 JAN,-0.4,2000,JAN,1,2000-01-01,-0.4
2000 FEB,-0.5,2000,FEB,2,2000-02-01,-0.5
2000 MAR,-0.5,2000,MAR,3,2000-03-01,-0.5
2000 APR,-0.2,2000,APR,4,2000-04-01,-0.2
2000 MAY,0.1,2000,MAY,5,2000-05-01,0.1
2000 JUN,0.6,2000,JUN,6,2000-06-01,0.6
2000 JUL,1.7,2000,JUL,7,2000-07-01,1.7
2000 AUG,1.4,2000,AUG,8,2000-08-01,1.4
2000 SEP,1.7,2000,SEP,9,2000-09-01,1.7
2000 OCT,1.9,2000,OCT,10,2000-10-01,1.9
2000 NOV,1.9,2000,NOV,11,2000-11-01,1.9
2000 DEC,2,2000,DEC,12,2000-12-01,2
2001 JAN,2.1,2001,JAN,1,2001-01-01,2.1
2001 FEB,2.2,2001,FEB,2,2001-02-01,2.2
2001 MAR,3.5,2001,MAR,3,2001-03-01,3.5
2001 APR,3.7,2001,APR,4,2001-04-01,3.7
2001 MAY,4.9,2001,MAY,5,2001-05-01,4.9
2001 JUN,5.2,2001,JUN,6,2001-06-01,5.2
2001 JUL,3.3,2001,JUL,7,2001-07-01,3.3
2001 AUG,3.8,2001,AUG,8,2001-08-01,3.8
2001 SEP,3.6,2001,SEP,9,2001-09-01,3.6
2001 OCT,3.6,2001,OCT,10,2001-10-01,3.6
2001 NOV,3.2,2001,NOV,11,2001-11-01,3.2
2001 DEC,3.4,2001,DEC,12,2001-12-01,3.4
2002 JAN,3.8,2002,JAN,1,2002-01-01,3.8
2002 FEB,3.7,2002,FEB,2,2002-02-01,3.7
2002 MAR,3.1,2002,MAR,3,2002-03-01,3.1
2002 APR,2.6,2002,APR,4,2002-04-01,2.6
2002 MAY,0.7,2002,MAY,5,2002-05-01,0.7
2002 JUN,-0.2,2002,JUN,6,2002-06-01,-0.2
2002 JUL,0.9,2002,JUL,7,2002-07-01,0.9
2002 AUG,1,2002,AUG,8,2002-08-01,1
2002 SEP,1.2,2002,SEP,9,2002-09-01,1.2
2002 OCT,1.1,2002,OCT,10,2002-10-01,1.1
2002 NOV,1.2,2002,NOV,11,2002-11-01,1.2
2002 DEC,0.8,2002,DEC,12,2002-12-01,0.8
2003 JAN,0.2,2003,JAN,1,2003-01-01,0.2
2003 FEB,0.7,2003,FEB,2,2003-02-01,0.7
2003 MAR,0.8,2003,MAR,3,2003-03-01,0.8
2003 APR,1.3,2003,APR,4,2003-04-01,1.3
2003 MAY,1.9,2003,MAY,5,2003-05-01,1.9
2003 JUN,2.1,2003,JUN,6,2003-06-01,2.1
2003 JUL,2.3,2003,JUL,7,2003-07-01,2.3
2003 AUG,2.3,2003,AUG,8,2003-08-01,2.3
2003 SEP,2.6,2003,SEP,9,2003-09-01,2.6
2003 OCT,2.5,2003,OCT,10,2003-10-01,2.5
2003 NOV,2.6,2003,NOV,11,2003-11-01,2.6
2003 DEC,2.9,2003,DEC,12,2003-12-01,2.9
2004 JAN,2.7,2004,JAN,1,2004-01-01,2.7
2004 FEB,2.4,2004,FEB,2,2004-02-01,2.4
2004 MAR,2.2,2004,MAR,3,2004-03-01,2.2
2004 APR,1.8,2004,APR,4,2004-04-01,1.8
2004 MAY,1.4,2004,MAY,5,2004-05-01,1.4
2004 JUN,1.2,2004,JUN,6,2004-06-01,1.2
2004 JUL,0.7,2004,JUL,7,2004-07-01,0.7
2004 AUG,0.6,2004,AUG,8,2004-08-01,0.6
2004 SEP,0.2,2004,SEP,9,2004-09-01,0.2
2004 OCT,0.4,2004,OCT,10,2004-10-01,0.4
2004 NOV,0.6,2004,NOV,11,2004-11-01,0.6
2004 DEC,0.8,2004,DEC,12,2004-12-01,0.8
2005 JAN,1.1,2005,JAN,1,2005-01-01,1.1
2005 FEB,1.4,2005,FEB,2,2005-02-01,1.4
2005 MAR,1.9,2005,MAR,3,2005-03-01,1.9
2005 APR,1.5,2005,APR,4,2005-04-01,1.5
2005 MAY,1.8,2005,MAY,5,2005-05-01,1.8
2005 JUN,2.2,2005,JUN,6,2005-06-01,2.2
2005 JUL,1.9,2005,JUL,7,2005-07-01,1.9
2005 AUG,2.1,2005,AUG,8,2005-08-01,2.1
2005 SEP,2,2005,SEP,9,2005-09-01,2
2005 OCT,1.6,2005,OCT,10,2005-10-01,1.6
2005 NOV,1.8,2005,NOV,11,2005-11-01,1.8
2005 DEC,1.7,2005,DEC,12,2005-12-01,1.7
2006 JAN,1.5,2006,JAN,1,2006-01-01,1.5
2006 FEB,1.5,2006,FEB,2,2006-02-01,1.5
2006 MAR,0.5,2006,MAR,3,2006-03-01,0.5
2006 APR,0.9,2006,APR,4,2006-04-01,0.9
2006 MAY,1.4,2006,MAY,5,2006-05-01,1.4
2006 JUN,1.8,2006,JUN,6,2006-06-01,1.8
2006 JUL,2.7,2006,JUL,7,2006-07-01,2.7
2006 AUG,2.8,2006,AUG,8,2006-08-01,2.8
2006 SEP,3.1,2006,SEP,9,2006-09-01,3.1
2006 OCT,3.7,2006,OCT,10,2006-10-01,3.7
2006 NOV,3.9,2006,NOV,11,2006-11-01,3.9
2006 DEC,3.7,2006,DEC,12,2006-12-01,3.7
2007 JAN,3.4,2007,JAN,1,2007-01-01,3.4
2007 FEB,3.6,2007,FEB,2,2007-02-01,3.6
2007 MAR,4.5,2007,MAR,3,2007-03-01,4.5
2007 APR,4.9,2007,APR,4,2007-04-01,4.9
2007 MAY,4.3,2007,MAY,5,2007-05-01,4.3
2007 JUN,4.4,2007,JUN,6,2007-06-01,4.4
2007 JUL,3.2,2007,JUL,7,2007-07-01,3.2
2007 AUG,3.3,2007,AUG,8,2007-08-01,3.3
2007 SEP,4,2007,SEP,9,2007-09-01,4
2007 OCT,4.6,2007,OCT,10,2007-10-01,4.6
2007 NOV,4.8,2007,NOV,11,2007-11-01,4.8
2007 DEC,5.3,2007,DEC,12,2007-12-01,5.3
2008 JAN,5.7,2008,JAN,1,2008-01-01,5.7
2008 FEB,5.4,2008,FEB,2,2008-02-01,5.4
2008 MAR,5.3,2008,MAR,3,2008-03-01,5.3
2008 APR,6,2008,APR,4,2008-04-01,6
2008 MAY,6.8,2008,MAY,5,2008-05-01,6.8
2008 JUN,8,2008,JUN,6,2008-06-01,8
2008 JUL,9.8,2008,JUL,7,2008-07-01,9.8
2008 AUG,10.3,2008,AUG,8,2008-08-01,10.3
2008 SEP,9.2,2008,SEP,9,2008-09-01,9.2
2008 OCT,8.4,2008,OCT,10,2008-10-01,8.4
2008 NOV,8.8,2008,NOV,11,2008-11-01,8.8
2008 DEC,8.4,2008,DEC,12,2008-12-01,8.4
2009 JAN,8,2009,JAN,1,2009-01-01,8
2009 FEB,9.1,2009,FEB,2,2009-02-01,9.1
2009 MAR,8.3,2009,MAR,3,2009-03-01,8.3
2009 APR,7,2009,APR,4,2009-04-01,7
2009 MAY,6.3,2009,MAY,5,2009-05-01,6.3
2009 JUN,4.5,2009,JUN,6,2009-06-01,4.5
2009 JUL,3.5,2009,JUL,7,2009-07-01,3.5
2009 AUG,2.2,2009,AUG,8,2009-08-01,2.2
2009 SEP,1.8,2009,SEP,9,2009-09-01,1.8
2009 OCT,2.2,2009,OCT,10,2009-10-01,2.2
2009 NOV,1.2,2009,NOV,11,2009-11-01,1.2
2009 DEC,1.6,2009,DEC,12,2009-12-01,1.6
2010 JAN,2.1,2010,JAN,1,2010-01-01,2.1
2010 FEB,1.5,2010,FEB,2,2010-02-01,1.5
2010 MAR,2.1,2010,MAR,3,2010-03-01,2.1
2010 APR,2.8,2010,APR,4,2010-04-01,2.8
2010 MAY,2,2010,MAY,5,2010-05-01,2
2010 JUN,2.1,2010,JUN,6,2010-06-01,2.1
2010 JUL,3.2,2010,JUL,7,2010-07-01,3.2
2010 AUG,3.7,2010,AUG,8,2010-08-01,3.7
2010 SEP,4.3,2010,SEP,9,2010-09-01,4.3
2010 OCT,3.9,2010,OCT,10,2010-10-01,3.9
2010 NOV,4.7,2010,NOV,11,2010-11-01,4.7
2010 DEC,5.1,2010,DEC,12,2010-12-01,5.1
2011 JAN,5.5,2011,JAN,1,2011-01-01,5.5
2011 FEB,5.6,2011,FEB,2,2011-02-01,5.6
2011 MAR,4.7,2011,MAR,3,2011-03-01,4.7
2011 APR,4.5,2011,APR,4,2011-04-01,4.5
2011 MAY,5.6,2011,MAY,5,2011-05-01,5.6
2011 JUN,6.4,2011,JUN,6,2011-06-01,6.4
2011 JUL,5.8,2011,JUL,7,2011-07-01,5.8
2011 AUG,6,2011,AUG,8,2011-08-01,6
2011 SEP,6.1,2011,SEP,9,2011-09-01,6.1
2011 OCT,5.3,2011,OCT,10,2011-10-01,5.3
2011 NOV,4.7,2011,NOV,11,2011-11-01,4.7
2011 DEC,4.5,2011,DEC,12,2011-12-01,4.5
2012 JAN,3.8,2012,JAN,1,2012-01-01,3.8
2012 FEB,3.8,2012,FEB,2,2012-02-01,3.8
2012 MAR,4.2,2012,MAR,3,2012-03-01,4.2
2012 APR,4,2012,APR,4,2012-04-01,4
2012 MAY,3.3,2012,MAY,5,2012-05-01,3.3
2012 JUN,2.6,2012,JUN,6,2012-06-01,2.6
2012 JUL,2.6,2012,JUL,7,2012-07-01,2.6
2012 AUG,2.3,2012,AUG,8,2012-08-01,2.3
2012 SEP,2.2,2012,SEP,9,2012-09-01,2.2
2012 OCT,3.1,2012,OCT,10,2012-10-01,3.1
2012 NOV,3.5,2012,NOV,11,2012-11-01,3.5
2012 DEC,3.3,2012,DEC,12,2012-12-01,3.3
2013 JAN,3.7,2013,JAN,1,2013-01-01,3.7
2013 FEB,3.4,2013,FEB,2,2013-02-01,3.4
2013 MAR,3.5,2013,MAR,3,2013-03-01,3.5
2013 APR,4,2013,APR,4,2013-04-01,4
2013 MAY,3.8,2013,MAY,5,2013-05-01,3.8
2013 JUN,3.5,2013,JUN,6,2013-06-01,3.5
2013 JUL,3.4,2013,JUL,7,2013-07-01,3.4
2013 AUG,3.8,2013,AUG,8,2013-08-01,3.8
2013 SEP,3.6,2013,SEP,9,2013-09-01,3.6
2013 OCT,3.4,2013,OCT,10,2013-10-01,3.4
2013 NOV,2.6,2013,NOV,11,2013-11-01,2.6
2013 DEC,2.1,2013,DEC,12,2013-12-01,2.1
2014 JAN,2.2,2014,JAN,1,2014-01-01,2.2
2014 FEB,2,2014,FEB,2,2014-02-01,2
2014 MAR,2.1,2014,MAR,3,2014-03-01,2.1
2014 APR,1.2,2014,APR,4,2014-04-01,1.2
2014 MAY,0.4,2014,MAY,5,2014-05-01,0.4
2014 JUN,1,2014,JUN,6,2014-06-01,1
2014 JUL,0.6,2014,JUL,7,2014-07-01,0.6
2014 AUG,0.1,2014,AUG,8,2014-08-01,0.1
2014 SEP,-0.1,2014,SEP,9,2014-09-01,-0.1
2014 OCT,-0.1,2014,OCT,10,2014-10-01,-0.1
2014 NOV,-0.5,2014,NOV,11,2014-11-01,-0.5
2014 DEC,-0.4,2014,DEC,12,2014-12-01,-0.4
2015 JAN,-1.1,2015,JAN,1,2015-01-01,-1.1
2015 FEB,-1.5,2015,FEB,2,2015-02-01,-1.5
2015 MAR,-1.5,2015,MAR,3,2015-03-01,-1.5
2015 APR,-1.3,2015,APR,4,2015-04-01,-1.3
2015 MAY,-0.8,2015,MAY,5,2015-05-01,-0.8
2015 JUN,-1,2015,JUN,6,2015-06-01,-1
2015 JUL,-1.4,2015,JUL,7,2015-07-01,-1.4
2015 AUG,-1,2015,AUG,8,2015-08-01,-1
2015 SEP,-0.9,2015,SEP,9,2015-09-01,-0.9
2015 OCT,-1.3,2015,OCT,10,2015-10-01,-1.3
2015 NOV,-0.8,2015,NOV,11,2015-11-01,-0.8
2015 DEC,-1.1,2015,DEC,12,2015-12-01,-1.1
2016 JAN,-1.2,2016,JAN,1,2016-01-01,-1.2
2016 FEB,-1,2016,FEB,2,2016-02-01,-1
2016 MAR,-1,2016,MAR,3,2016-03-01,-1
2016 APR,-1,2016,APR,4,2016-04-01,-1
2016 MAY,-1.1,2016,MAY,5,2016-05-01,-1.1
2016 JUN,-1.2,2016,JUN,6,2016-06-01,-1.2
2016 JUL,-0.9,2016,JUL,7,2016-07-01,-0.9
2016 AUG,-0.7,2016,AUG,8,2016-08-01,-0.7
2016 SEP,-0.8,2016,SEP,9,2016-09-01,-0.8
2016 OCT,-0.8,2016,OCT,10,2016-10-01,-0.8
2016 NOV,-0.5,2016,NOV,11,2016-11-01,-0.5
2016 DEC,0,2016,DEC,12,2016-12-01,0
2017 JAN,0.5,2017,JAN,1,2017-01-01,0.5
2017 FEB,1.2,2017,FEB,2,2017-02-01,1.2
2017 MAR,1.6,2017,MAR,3,2017-03-01,1.6
2017 APR,1.9,2017,APR,4,2017-04-01,1.9
2017 MAY,2.4,2017,MAY,5,2017-05-01,2.4
2017 JUN,2.5,2017,JUN,6,2017-06-01,2.5
2017 JUL,2.8,2017,JUL,7,2017-07-01,2.8
2017 AUG,2.4,2017,AUG,8,2017-08-01,2.4
2017 SEP,3.2,2017,SEP,9,2017-09-01,3.2
2017 OCT,3.8,2017,OCT,10,2017-10-01,3.8
2017 NOV,3.7,2017,NOV,11,2017-11-01,3.7
2017 DEC,3.7,2017,DEC,12,2017-12-01,3.7
2018 JAN,3.3,2018,JAN,1,2018-01-01,3.3
2018 FEB,2.6,2018,FEB,2,2018-02-01,2.6
2018 MAR,2.7,2018,MAR,3,2018-03-01,2.7
2018 APR,2.6,2018,APR,4,2018-04-01,2.6
2018 MAY,2.3,2018,MAY,5,2018-05-01,2.3
2018 JUN,2.2,2018,JUN,6,2018-06-01,2.2
2018 JUL,2.4,2018,JUL,7,2018-07-01,2.4
2018 AUG,2.6,2018,AUG,8,2018-08-01,2.6
2018 SEP,1.8,2018,SEP,9,2018-09-01,1.8
2018 OCT,1.3,2018,OCT,10,2018-10-01,1.3
2018 NOV,1.2,2018,NOV,11,2018-11-01,1.2
2018 DEC,1.4,2018,DEC,12,2018-12-01,1.4
2019 JAN,1.6,2019,JAN,1,2019-01-01,1.6
2019 FEB,2.1,2019,FEB,2,2019-02-01,2.1
2019 MAR,1.8,2019,MAR,3,2019-03-01,1.8
2019 APR,1.5,2019,APR,4,2019-04-01,1.5
2019 MAY,1.7,2019,MAY,5,2019-05-01,1.7
2019 JUN,2.1,2019,JUN,6,2019-06-01,2.1
2019 JUL,1.9,2019,JUL,7,2019-07-01,1.9
2019 AUG,2.3,2019,AUG,8,2019-08-01,2.3
2019 SEP,2,2019,SEP,9,2019-09-01,2
2019 OCT,2,2019,OCT,10,2019-10-01,2
2019 NOV,2.4,2019,NOV,11,2019-11-01,2.4
2019 DEC,2,2019,DEC,12,2019-12-01,2
2020 JAN,2,2020,JAN,1,2020-01-01,2
2020 FEB,1.6,2020,FEB,2,2020-02-01,1.6
2020 MAR,1.9,2020,MAR,3,2020-03-01,1.9
2020 APR,2.3,2020,APR,4,2020-04-01,2.3
2020 MAY,2.4,2020,MAY,5,2020-05-01,2.4
2020 JUN,1.9,2020,JUN,6,2020-06-01,1.9
2020 JUL,1.7,2020,JUL,7,2020-07-01,1.7
2020 AUG,-2.1,2020,AUG,8,2020-08-01,-2.1
2020 SEP,0.3,2020,SEP,9,2020-09-01,0.3
2020 OCT,0.8,2020,OCT,10,2020-10-01,0.8
2020 NOV,-0.2,2020,NOV,11,2020-11-01,-0.2
2020 DEC,-0.3,2020,DEC,12,2020-12-01,-0.3
2021 JAN,0.1,2021,JAN,1,2021-01-01,0.1
2021 FEB,0.2,2021,FEB,2,2021-02-01,0.2
2021 MAR,-0.7,2021,MAR,3,2021-03-01,-0.7
2021 APR,0.1,2021,APR,4,2021-04-01,0.1
2021 MAY,-0.4,2021,MAY,5,2021-05-01,-0.4
2021 JUN,0.3,2021,JUN,6,2021-06-01,0.3
2021 JUL,0.2,2021,JUL,7,2021-07-01,0.2
2021 AUG,4.4,2021,AUG,8,2021-08-01,4.4
2021 SEP,2,2021,SEP,9,2021-09-01,2
2021 OCT,2.3,2021,OCT,10,2021-10-01,2.3
2021 NOV,3.6,2021,NOV,11,2021-11-01,3.6
2021 DEC,4.5,2021,DEC,12,2021-12-01,4.5
2022 JAN,5,2022,JAN,1,2022-01-01,5
2022 FEB,5.4,2022,FEB,2,2022-02-01,5.4
2022 MAR,6.2,2022,MAR,3,2022-03-01,6.2
2022 APR,6.9,2022,APR,4,2022-04-01,6.9
2022 MAY,8.6,2022,MAY,5,2022-05-01,8.6
2022 JUN,9.5,2022,JUN,6,2022-06-01,9.5
2022 JUL,11.9,2022,JUL,7,2022-07-01,11.9
2022 AUG,12.4,2022,AUG,8,2022-08-01,12.4
2022 SEP,13.6,2022,SEP,9,2022-09-01,13.6
2022 OCT,15,2022,OCT,10,2022-10-01,15
