time,value
"{'interval_start': '2019-05-27T00:00:00Z', 'max': '2019-06-02T13:49:42.848000Z', 'min': '2019-05-27T12:19:25.825000Z'}","{'average': 0.031637744014848, 'count': 1489, 'max': 0.04841408133506701, 'min': 0.023437013849616002, 'standard deviation': 0.0030004678867}"
"{'interval_start': '2019-06-03T00:00:00Z', 'max': '2019-06-09T13:17:57.682000Z', 'min': '2019-06-03T11:48:23.615000Z'}","{'average': 0.029501349743204, 'count': 1469, 'max': 0.044288370758295004, 'min': 0.022165885195136, 'standard deviation': 0.002488553579032}"
"{'interval_start': '2019-06-10T00:00:00Z', 'max': '2019-06-16T14:27:26.705000Z', 'min': '2019-06-10T11:18:40.694000Z'}","{'average': 0.028199326706380003, 'count': 1265, 'max': 0.035974431782960004, 'min': 0.019888345152139, 'standard deviation': 0.0018027184843710002}"
"{'interval_start': '2019-06-17T00:00:00Z', 'max': '2019-06-23T13:55:48.732000Z', 'min': '2019-06-17T12:25:27.390000Z'}","{'average': 0.027370966235329003, 'count': 1456, 'max': 0.032974064350128, 'min': 0.021705273538827, 'standard deviation': 0.001708308361602}"
"{'interval_start': '2019-06-24T00:00:00Z', 'max': '2019-06-30T13:24:06.934000Z', 'min': '2019-06-24T11:54:26.733000Z'}","{'average': 0.027683484681131004, 'count': 1398, 'max': 0.033369220793247, 'min': 0.019172813743352002, 'standard deviation': 0.0017431032830450002}"
"{'interval_start': '2019-07-01T00:00:00Z', 'max': '2019-07-07T12:52:30.789000Z', 'min': '2019-07-01T11:23:28.612000Z'}","{'average': 0.026907987690343003, 'count': 1372, 'max': 0.031996581703424, 'min': 0.020204151049256002, 'standard deviation': 0.0016748820323360001}"
"{'interval_start': '2019-07-08T00:00:00Z', 'max': '2019-07-14T14:02:10.860000Z', 'min': '2019-07-08T12:31:32.207000Z'}","{'average': 0.027913743660304004, 'count': 1570, 'max': 0.035992085933685004, 'min': 0.015591778792440001, 'standard deviation': 0.002526325302027}"
"{'interval_start': '2019-07-15T00:00:00Z', 'max': '2019-07-21T13:30:23.007000Z', 'min': '2019-07-16T11:41:55.393000Z'}","{'average': 0.030810991094544004, 'count': 1319, 'max': 0.046621721237897006, 'min': 0.021586261689662, 'standard deviation': 0.0035283006617270003}"
"{'interval_start': '2019-07-22T00:00:00Z', 'max': '2019-07-28T12:58:52.290000Z', 'min': '2019-07-22T11:29:42.530000Z'}","{'average': 0.029752423301974, 'count': 1243, 'max': 0.035676073282957, 'min': 0.021643429994583, 'standard deviation': 0.0020716360637420004}"
"{'interval_start': '2019-07-29T00:00:00Z', 'max': '2019-08-04T14:08:38.195000Z', 'min': '2019-07-29T12:37:52.757000Z'}","{'average': 0.029635452343331002, 'count': 1550, 'max': 0.038002826273441, 'min': 0.020882025361061003, 'standard deviation': 0.0025334534860100002}"
"{'interval_start': '2019-08-05T00:00:00Z', 'max': '2019-08-11T13:36:41.744000Z', 'min': '2019-08-05T12:06:44.046000Z'}","{'average': 0.029642672755750003, 'count': 1770, 'max': 0.038543470203876, 'min': 0.02195980027318, 'standard deviation': 0.002696689201791}"
"{'interval_start': '2019-08-12T00:00:00Z', 'max': '2019-08-18T13:05:17.885000Z', 'min': '2019-08-12T11:35:55.859000Z'}","{'average': 0.032014686813598, 'count': 1626, 'max': 0.03874135389924, 'min': 0.016050845384597, 'standard deviation': 0.0026273153090390004}"
"{'interval_start': '2019-08-19T00:00:00Z', 'max': '2019-08-25T14:15:08.088000Z', 'min': '2019-08-19T11:06:44.513000Z'}","{'average': 0.033831410243937, 'count': 1488, 'max': 0.044113673269748, 'min': 0.025353355333209003, 'standard deviation': 0.0030931239566630003}"
"{'interval_start': '2019-08-26T00:00:00Z', 'max': '2019-09-01T13:43:18.817000Z', 'min': '2019-08-26T12:13:07.487000Z'}","{'average': 0.030281668035174004, 'count': 1675, 'max': 0.037805709987878, 'min': 0.018173022195696, 'standard deviation': 0.002705131073981}"
"{'interval_start': '2019-09-02T00:00:00Z', 'max': '2019-09-08T13:11:43.075000Z', 'min': '2019-09-02T11:42:11.023000Z'}","{'average': 0.031941360152922, 'count': 1598, 'max': 0.039358254522085, 'min': 0.022888481616973003, 'standard deviation': 0.002611079290483}"
"{'interval_start': '2019-09-09T00:00:00Z', 'max': '2019-09-15T14:21:32.919000Z', 'min': '2019-09-09T11:13:00.728000Z'}","{'average': 0.030889943999305003, 'count': 1530, 'max': 0.037780970335006006, 'min': 0.024087699130177, 'standard deviation': 0.002579254728203}"
"{'interval_start': '2019-09-16T00:00:00Z', 'max': '2019-09-22T13:49:46.840000Z', 'min': '2019-09-16T12:19:23.467000Z'}","{'average': 0.028836943944005003, 'count': 1749, 'max': 0.036395754665136004, 'min': 0.022038213908672003, 'standard deviation': 0.0023919300814240004}"
"{'interval_start': '2019-09-23T00:00:00Z', 'max': '2019-09-29T13:18:07.362000Z', 'min': '2019-09-23T11:48:26.358000Z'}","{'average': 0.028912193315873, 'count': 1579, 'max': 0.041690319776535006, 'min': 0.02216356433928, 'standard deviation': 0.0019210828061740001}"
"{'interval_start': '2019-09-30T00:00:00Z', 'max': '2019-10-06T14:27:54.448000Z', 'min': '2019-09-30T11:17:54.445000Z'}","{'average': 0.029016551946776003, 'count': 1272, 'max': 0.034746140241622, 'min': 0.022700043395161, 'standard deviation': 0.001882790363181}"
"{'interval_start': '2019-10-07T00:00:00Z', 'max': '2019-10-13T13:56:17.531000Z', 'min': '2019-10-07T12:25:44.303000Z'}","{'average': 0.028392759097314, 'count': 1283, 'max': 0.034861341118812006, 'min': 0.022724725306034, 'standard deviation': 0.0017719710581360001}"
"{'interval_start': '2019-10-14T00:00:00Z', 'max': '2019-10-20T13:24:34.286000Z', 'min': '2019-10-14T11:54:58.270000Z'}","{'average': 0.028924491773808004, 'count': 1523, 'max': 0.033960152417421, 'min': 0.023730631917715003, 'standard deviation': 0.00129084143499}"
"{'interval_start': '2019-10-21T00:00:00Z', 'max': '2019-10-27T14:33:20.934000Z', 'min': '2019-10-21T11:24:12.992000Z'}","{'average': 0.028839564154931004, 'count': 1132, 'max': 0.034272350370883005, 'min': 0.022094555199146, 'standard deviation': 0.00154251659942}"
"{'interval_start': '2019-10-28T00:00:00Z', 'max': '2019-11-03T14:02:46.357000Z', 'min': '2019-10-28T12:32:04.807000Z'}","{'average': 0.029448222129454003, 'count': 1431, 'max': 0.033924870193004004, 'min': 0.022988535463809003, 'standard deviation': 0.001616451670651}"
"{'interval_start': '2019-11-04T00:00:00Z', 'max': '2019-11-10T13:30:57.159000Z', 'min': '2019-11-04T12:01:03.753000Z'}","{'average': 0.029829042953893003, 'count': 1522, 'max': 0.034814864397048, 'min': 0.021229015663266, 'standard deviation': 0.00161682338901}"
"{'interval_start': '2019-11-11T00:00:00Z', 'max': '2019-11-17T12:59:28.253000Z', 'min': '2019-11-11T11:30:12.599000Z'}","{'average': 0.029952279848843, 'count': 1119, 'max': 0.03590527549386, 'min': 0.022002952173352002, 'standard deviation': 0.0025069115959860003}"
"{'interval_start': '2019-11-18T00:00:00Z', 'max': '2019-11-24T14:07:56.560000Z', 'min': '2019-11-18T12:38:24.644000Z'}","{'average': 0.030352270078474002, 'count': 612, 'max': 0.038035672158002, 'min': 0.024975407868623, 'standard deviation': 0.0015102157541980001}"
"{'interval_start': '2019-11-25T00:00:00Z', 'max': '2019-12-01T13:36:28.373000Z', 'min': '2019-11-25T12:07:18.964000Z'}","{'average': 0.03074133818477, 'count': 1253, 'max': 0.039016980677843004, 'min': 0.024894982576370003, 'standard deviation': 0.0016263998221190002}"
"{'interval_start': '2019-12-02T00:00:00Z', 'max': '2019-12-08T13:05:23.194000Z', 'min': '2019-12-02T11:36:28.219000Z'}","{'average': 0.030570797825007004, 'count': 946, 'max': 0.036507029086351006, 'min': 0.025012655183672003, 'standard deviation': 0.0018770494861340002}"
"{'interval_start': '2019-12-09T00:00:00Z', 'max': '2019-12-15T14:13:45.596000Z', 'min': '2019-12-09T12:44:48.031000Z'}","{'average': 0.030289938033994, 'count': 839, 'max': 0.038768246769905, 'min': 0.024038612842559003, 'standard deviation': 0.0018416910169040002}"
"{'interval_start': '2019-12-16T00:00:00Z', 'max': '2019-12-22T13:42:50.088000Z', 'min': '2019-12-16T12:13:57.200000Z'}","{'average': 0.030136748883358003, 'count': 492, 'max': 0.034746609628200004, 'min': 0.022578036412596002, 'standard deviation': 0.0016307155805110002}"
"{'interval_start': '2019-12-23T00:00:00Z', 'max': '2019-12-29T13:11:27.897000Z', 'min': '2019-12-23T11:42:40.330000Z'}","{'average': 0.031628805997162, 'count': 685, 'max': 0.040163900703191, 'min': 0.027468578889966, 'standard deviation': 0.00149688987754}"
"{'interval_start': '2019-12-30T00:00:00Z', 'max': '2020-01-05T14:20:40.173000Z', 'min': '2019-12-30T12:51:06.402000Z'}","{'average': 0.03260649656083, 'count': 962, 'max': 0.037639629095792, 'min': 0.027025962248444002, 'standard deviation': 0.002196907067158}"
"{'interval_start': '2020-01-06T00:00:00Z', 'max': '2020-01-12T13:49:38.842000Z', 'min': '2020-01-06T12:19:49.491000Z'}","{'average': 0.032819923913093005, 'count': 882, 'max': 0.049355868250131, 'min': 0.025040162727236002, 'standard deviation': 0.002539212471375}"
"{'interval_start': '2020-01-13T00:00:00Z', 'max': '2020-01-19T13:17:43.356000Z', 'min': '2020-01-13T11:48:52.833000Z'}","{'average': 0.033787795350895, 'count': 888, 'max': 0.040251657366752, 'min': 0.028507353737950002, 'standard deviation': 0.002134344139852}"
"{'interval_start': '2020-01-20T00:00:00Z', 'max': '2020-01-26T12:47:06.409000Z', 'min': '2020-01-20T11:18:19.781000Z'}","{'average': 0.033710699718953005, 'count': 1320, 'max': 0.040716066956520004, 'min': 0.027113208547234, 'standard deviation': 0.0019276835778140001}"
"{'interval_start': '2020-01-27T00:00:00Z', 'max': '2020-02-02T13:56:22.728000Z', 'min': '2020-01-27T12:26:05.171000Z'}","{'average': 0.033255209976976, 'count': 1012, 'max': 0.041113410145044, 'min': 0.026486545801162, 'standard deviation': 0.001940700291024}"
"{'interval_start': '2020-02-03T00:00:00Z', 'max': '2020-02-09T13:24:52.724000Z', 'min': '2020-02-03T11:55:04.664000Z'}","{'average': 0.034553762273611004, 'count': 1295, 'max': 0.042388852685689, 'min': 0.026247143745422002, 'standard deviation': 0.0026229900277140003}"
"{'interval_start': '2020-02-10T00:00:00Z', 'max': '2020-02-16T12:53:23.026000Z', 'min': '2020-02-10T11:24:14.858000Z'}","{'average': 0.033370746055306, 'count': 831, 'max': 0.039627660065889005, 'min': 0.026466343551874, 'standard deviation': 0.0023950702832830004}"
"{'interval_start': '2020-02-17T00:00:00Z', 'max': '2020-02-23T14:03:00.643000Z', 'min': '2020-02-17T12:32:19.380000Z'}","{'average': 0.033124325385792006, 'count': 1128, 'max': 0.038922190666198, 'min': 0.023273553699254, 'standard deviation': 0.002414836474487}"
"{'interval_start': '2020-02-24T00:00:00Z', 'max': '2020-03-01T13:31:11.683000Z', 'min': '2020-02-24T12:01:32.850000Z'}","{'average': 0.033454681957992005, 'count': 1397, 'max': 0.043931934982538, 'min': 0.025100747123360002, 'standard deviation': 0.002748669252501}"
"{'interval_start': '2020-03-02T00:00:00Z', 'max': '2020-03-08T12:59:37.127000Z', 'min': '2020-03-02T11:30:26.483000Z'}","{'average': 0.034084357249383, 'count': 1503, 'max': 0.040572263300418, 'min': 0.026788219809532002, 'standard deviation': 0.0017956949688300002}"
"{'interval_start': '2020-03-09T00:00:00Z', 'max': '2020-03-15T14:09:19.794000Z', 'min': '2020-03-09T12:38:36.227000Z'}","{'average': 0.033614056769728, 'count': 1516, 'max': 0.041510183364152006, 'min': 0.024893315508961, 'standard deviation': 0.002936905910996}"
"{'interval_start': '2020-03-16T00:00:00Z', 'max': '2020-03-22T13:37:32.780000Z', 'min': '2020-03-16T12:07:27.747000Z'}","{'average': 0.037425879476405, 'count': 1258, 'max': 0.04268631339073101, 'min': 0.027712436392903002, 'standard deviation': 0.0018540271986920002}"
"{'interval_start': '2020-03-23T00:00:00Z', 'max': '2020-03-29T13:05:53.342000Z', 'min': '2020-03-23T11:36:31.731000Z'}","{'average': 0.038403064683079004, 'count': 1550, 'max': 0.045069228857755, 'min': 0.031967855989933, 'standard deviation': 0.002062451311131}"
"{'interval_start': '2020-03-30T00:00:00Z', 'max': '2020-04-05T14:15:18.914000Z', 'min': '2020-03-30T11:07:17.726000Z'}","{'average': 0.036725786161701, 'count': 1346, 'max': 0.042069260030984004, 'min': 0.028425980359315, 'standard deviation': 0.001544153764802}"
"{'interval_start': '2020-04-06T00:00:00Z', 'max': '2020-04-12T13:43:48.905000Z', 'min': '2020-04-06T12:13:34.662000Z'}","{'average': 0.038302767790933, 'count': 1678, 'max': 0.045868698507547004, 'min': 0.031860470771789, 'standard deviation': 0.002446929817941}"
"{'interval_start': '2020-04-13T00:00:00Z', 'max': '2020-04-19T13:12:08.209000Z', 'min': '2020-04-13T11:42:36.687000Z'}","{'average': 0.037346313560783, 'count': 1612, 'max': 0.043929152190685, 'min': 0.029927721247076003, 'standard deviation': 0.0022535795906260003}"
"{'interval_start': '2020-04-20T00:00:00Z', 'max': '2020-04-26T14:21:55.232000Z', 'min': '2020-04-20T11:13:21.906000Z'}","{'average': 0.03669473483736, 'count': 1552, 'max': 0.042154900729656004, 'min': 0.030613107606768, 'standard deviation': 0.0018351328509230002}"
"{'interval_start': '2020-04-27T00:00:00Z', 'max': '2020-05-03T13:50:04.848000Z', 'min': '2020-04-27T12:19:46.127000Z'}","{'average': 0.033723073558288005, 'count': 1609, 'max': 0.040336638689041006, 'min': 0.024238843470811, 'standard deviation': 0.002357884554655}"
"{'interval_start': '2020-05-04T00:00:00Z', 'max': '2020-05-10T13:18:21.989000Z', 'min': '2020-05-04T11:48:44.100000Z'}","{'average': 0.034816779379071, 'count': 1671, 'max': 0.044295717030763, 'min': 0.028414573520421003, 'standard deviation': 0.002042438552247}"
"{'interval_start': '2020-05-11T00:00:00Z', 'max': '2020-05-17T11:07:32.437000Z', 'min': '2020-05-11T11:18:05.676000Z'}","{'average': 0.035043940268244006, 'count': 1437, 'max': 0.041020397096872004, 'min': 0.027163591235876004, 'standard deviation': 0.0018502690216590002}"
"{'interval_start': '2020-05-18T00:00:00Z', 'max': '2020-05-24T13:56:09.961000Z', 'min': '2020-05-18T12:25:51.805000Z'}","{'average': 0.033302781512409, 'count': 1642, 'max': 0.039789609611034005, 'min': 0.019591556861996002, 'standard deviation': 0.002799388443608}"
"{'interval_start': '2020-05-25T00:00:00Z', 'max': '2020-05-31T13:24:35.443000Z', 'min': '2020-05-25T11:54:51.360000Z'}","{'average': 0.032247873018947, 'count': 1772, 'max': 0.039733119308948, 'min': 0.025558561086654, 'standard deviation': 0.0020904613366040004}"
"{'interval_start': '2020-06-01T00:00:00Z', 'max': '2020-06-07T12:52:59.189000Z', 'min': '2020-06-01T11:23:58.601000Z'}","{'average': 0.028960787560064004, 'count': 1513, 'max': 0.036231748759746, 'min': 0.016817845404148, 'standard deviation': 0.002609426686383}"
"{'interval_start': '2020-06-08T00:00:00Z', 'max': '2020-06-14T14:02:41.003000Z', 'min': '2020-06-08T12:32:02.203000Z'}","{'average': 0.028358357152578003, 'count': 1515, 'max': 0.04319746419787401, 'min': 0.020171536132693003, 'standard deviation': 0.0024186503336280003}"
"{'interval_start': '2020-06-15T00:00:00Z', 'max': '2020-06-21T13:30:48.129000Z', 'min': '2020-06-15T12:00:56.948000Z'}","{'average': 0.027596641984752004, 'count': 1729, 'max': 0.032827161252498, 'min': 0.020062478259205003, 'standard deviation': 0.002106798212002}"
"{'interval_start': '2020-06-22T00:00:00Z', 'max': '2020-06-28T12:59:12.679000Z', 'min': '2020-06-22T11:30:00.196000Z'}","{'average': 0.028692309231219, 'count': 1618, 'max': 0.038452662527561, 'min': 0.018218714743852, 'standard deviation': 0.0035553645357280002}"
"{'interval_start': '2020-06-29T00:00:00Z', 'max': '2020-07-05T14:08:51.772000Z', 'min': '2020-06-29T12:38:07.526000Z'}","{'average': 0.026055236139987004, 'count': 1453, 'max': 0.032890778034925, 'min': 0.017361097037792, 'standard deviation': 0.002301714134469}"
"{'interval_start': '2020-07-06T00:00:00Z', 'max': '2020-07-12T13:37:01.388000Z', 'min': '2020-07-06T12:06:57.636000Z'}","{'average': 0.026199794365712, 'count': 1714, 'max': 0.034480985254049, 'min': 0.017332188785076003, 'standard deviation': 0.0019937362791940002}"
"{'interval_start': '2020-07-13T00:00:00Z', 'max': '2020-07-19T13:05:22.261000Z', 'min': '2020-07-13T11:36:01.132000Z'}","{'average': 0.026411349902556003, 'count': 1553, 'max': 0.034105647355318, 'min': 0.020244358107447003, 'standard deviation': 0.001955636942698}"
"{'interval_start': '2020-07-20T00:00:00Z', 'max': '2020-07-26T14:15:06.867000Z', 'min': '2020-07-20T11:06:46.961000Z'}","{'average': 0.026448680013370002, 'count': 1549, 'max': 0.032274771481752, 'min': 0.019085727632045, 'standard deviation': 0.0018069277765690001}"
"{'interval_start': '2020-07-27T00:00:00Z', 'max': '2020-08-02T13:43:17.445000Z', 'min': '2020-07-27T12:13:01.339000Z'}","{'average': 0.027345245755829, 'count': 1511, 'max': 0.040939051657915004, 'min': 0.020639691501855, 'standard deviation': 0.0024864830454060004}"
"{'interval_start': '2020-08-03T00:00:00Z', 'max': '2020-08-09T13:11:31.383000Z', 'min': '2020-08-03T11:42:02.800000Z'}","{'average': 0.028204953710197003, 'count': 1586, 'max': 0.036499544978141, 'min': 0.019127076491713, 'standard deviation': 0.0029044071049540003}"
"{'interval_start': '2020-08-10T00:00:00Z', 'max': '2020-08-16T14:21:18.593000Z', 'min': '2020-08-10T11:12:49.494000Z'}","{'average': 0.029433736490375003, 'count': 1537, 'max': 0.036171782761812, 'min': 0.020137656480073002, 'standard deviation': 0.0016126743390560002}"
"{'interval_start': '2020-08-17T00:00:00Z', 'max': '2020-08-23T13:49:24.180000Z', 'min': '2020-08-17T12:19:04.559000Z'}","{'average': 0.027481848569444002, 'count': 1706, 'max': 0.034283868968486, 'min': 0.019646544009447, 'standard deviation': 0.001955814330617}"
"{'interval_start': '2020-08-24T00:00:00Z', 'max': '2020-08-30T13:17:41.982000Z', 'min': '2020-08-24T11:48:02.708000Z'}","{'average': 0.028049101577321003, 'count': 1527, 'max': 0.033344898372888, 'min': 0.018431890755891002, 'standard deviation': 0.002088209899326}"
"{'interval_start': '2020-08-31T00:00:00Z', 'max': '2020-09-06T16:27:03.243000Z', 'min': '2020-08-31T11:17:37.956000Z'}","{'average': 0.0297121368389, 'count': 1383, 'max': 0.036057706922292, 'min': 0.022658387199044002, 'standard deviation': 0.001936656459915}"
"{'interval_start': '2020-09-07T00:00:00Z', 'max': '2020-09-13T15:55:35.144000Z', 'min': '2020-09-07T14:25:19.114000Z'}","{'average': 0.031163827885954003, 'count': 1579, 'max': 0.05468750745058001, 'min': 0.022495228797197002, 'standard deviation': 0.004687246077551}"
"{'interval_start': '2020-09-14T00:00:00Z', 'max': '2020-09-20T15:23:49.338000Z', 'min': '2020-09-15T13:35:51.682000Z'}","{'average': 0.033323328725066, 'count': 1382, 'max': 0.044167324900627004, 'min': 0.024125877767801, 'standard deviation': 0.0027756223870940002}"
"{'interval_start': '2020-09-21T00:00:00Z', 'max': '2020-09-27T14:52:39.947000Z', 'min': '2020-09-21T13:23:33.097000Z'}","{'average': 0.032365862274643005, 'count': 1358, 'max': 0.049440339207649, 'min': 0.019109055399894003, 'standard deviation': 0.004832053275139}"
"{'interval_start': '2020-09-28T00:00:00Z', 'max': '2020-10-04T16:01:55.046000Z', 'min': '2020-09-28T14:31:41.829000Z'}","{'average': 0.033109911707398, 'count': 1294, 'max': 0.042732268571853006, 'min': 0.023616876453161, 'standard deviation': 0.0032948407319670003}"
"{'interval_start': '2020-10-05T00:00:00Z', 'max': '2020-10-11T15:30:35.780000Z', 'min': '2020-10-05T14:00:39.390000Z'}","{'average': 0.032019074834325, 'count': 1831, 'max': 0.037956327199935004, 'min': 0.024936757981777, 'standard deviation': 0.0021316501475210003}"
"{'interval_start': '2020-10-12T00:00:00Z', 'max': '2020-10-18T14:59:06.943000Z', 'min': '2020-10-12T13:29:55.171000Z'}","{'average': 0.033418758196983, 'count': 1622, 'max': 0.039178393781185004, 'min': 0.027877556160092003, 'standard deviation': 0.001870547161865}"
"{'interval_start': '2020-10-19T00:00:00Z', 'max': '2020-10-25T15:08:43.358000Z', 'min': '2020-10-19T14:38:07.046000Z'}","{'average': 0.031742250637358, 'count': 1152, 'max': 0.045596610754728005, 'min': 0.024999627843499003, 'standard deviation': 0.00210884464757}"
"{'interval_start': '2020-10-26T00:00:00Z', 'max': '2020-11-01T14:37:03.795000Z', 'min': '2020-10-26T13:06:58.320000Z'}","{'average': 0.029592146303355, 'count': 1319, 'max': 0.035565070807933, 'min': 0.022210335358977002, 'standard deviation': 0.0019789464344290002}"
"{'interval_start': '2020-11-02T00:00:00Z', 'max': '2020-11-08T14:05:05.267000Z', 'min': '2020-11-02T12:36:07.362000Z'}","{'average': 0.031717281264316, 'count': 1446, 'max': 0.040373973548412004, 'min': 0.022531658411026, 'standard deviation': 0.0018771994848730002}"
"{'interval_start': '2020-11-09T00:00:00Z', 'max': '2020-11-15T15:14:41.759000Z', 'min': '2020-11-09T12:06:58.039000Z'}","{'average': 0.031263341168108, 'count': 1006, 'max': 0.037282519042491004, 'min': 0.022478666156530002, 'standard deviation': 0.001897353865169}"
"{'interval_start': '2020-11-16T00:00:00Z', 'max': '2020-11-22T14:43:08.458000Z', 'min': '2020-11-16T13:13:20.136000Z'}","{'average': 0.031787689165748, 'count': 1198, 'max': 0.037360109388828, 'min': 0.025971740484237, 'standard deviation': 0.001972651250147}"
